patch,recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
0,003b04435,0.005606824066489935,0.09721689671278,0.3128725588321686,0.5821865797042847,0.0004232371284160763,0.002401840640231967,0.0002480990078765899,0.3674316108226776,0.0006187057588249445,0.0012502296594902873,0.0008175050606951118,0.0007917307666502893,0.0019264587899670005,0.0006399582489393651,0.0033975953701883554,0.007199140265583992,0.0013789921067655087,0.0006998625467531383,0.0094722555950284,0.0007265297463163733,0.003111379686743021,0.0014782329089939594,0.0006960176979191601,0.002313228091225028
1,003b04435,0.0027705638203769922,0.008086318150162697,0.3470376431941986,0.5440934300422668,0.0008996276883408427,0.005340423434972763,0.00045071280328556895,0.5079240202903748,0.0009031136869452894,0.0007676537497900426,0.00052627082914114,0.001423005247488618,0.003004038706421852,0.0007870030822232366,0.0014119289116933942,0.012016546912491322,0.0005668692174367607,0.0006927525391802192,0.011630071327090263,0.0010970351286232471,0.00280956132337451,0.0014141963329166174,0.0007403172203339636,0.004240761511027813
2,003b04435,0.003265359904617071,0.01647285744547844,0.5686396360397339,0.5311829447746277,0.0009384973673149943,0.004969374742358923,0.00045718823093920946,0.32074278593063354,0.001181687694042921,0.0013497729087248445,0.001174087869003415,0.011124798096716404,0.003334012348204851,0.0008577126427553594,0.0018642011564224958,0.008557623252272606,0.0007062072982080281,0.0012145992368459702,0.009351617656648159,0.0012786434963345528,0.0023564815055578947,0.001775924814864993,0.0006638573831878603,0.004664533771574497
3,003b04435,0.004734717309474945,0.16190843284130096,0.45537319779396057,0.5320671796798706,0.001000109827145934,0.0020997130777686834,0.0001761094172252342,0.3362672030925751,0.0007214950164780021,0.0031186873093247414,0.0008183924364857376,0.000661714468151331,0.0022190106101334095,0.0017483498668298125,0.0016486461972817779,0.007030252367258072,0.0008498822571709752,0.0007322318269871175,0.015120300464332104,0.0010859117610380054,0.0038905737455934286,0.003077778499573469,0.0007891606655903161,0.007361242547631264
4,003b04435,0.00493658659979701,0.2715575098991394,0.661668062210083,0.45601606369018555,0.0005075966473668814,0.003923831507563591,0.00036711449502035975,0.3064325749874115,0.0006096273427829146,0.003250264562666416,0.0012533558765426278,0.0013926458777859807,0.004755707457661629,0.001301275915466249,0.0010936548933386803,0.0065125636756420135,0.0007436007726937532,0.0011403663083910942,0.012218303978443146,0.0014588616322726011,0.003741069231182337,0.0014946010196581483,0.0010950790019705892,0.006328241433948278
5,003b04435,0.005883798468858004,0.251603364944458,0.6972795724868774,0.4566894471645355,0.0005812777671962976,0.0056191119365394115,0.00039109066710807383,0.2625797986984253,0.0006429829518310726,0.004370624199509621,0.0020598596893250942,0.0019959877245128155,0.0055396053940057755,0.0014274801360443234,0.000778259476646781,0.00806664489209652,0.0046180314384400845,0.0015641937498003244,0.014584839344024658,0.0019475214648991823,0.006134523544460535,0.001764200977049768,0.0019985742401331663,0.011652324348688126
6,003b04435,0.001912759500555694,0.05914393067359924,0.8172625303268433,0.3352321982383728,0.00012859654088970274,0.011135756969451904,0.0003939259913749993,0.18364302814006805,0.0002610484079923481,0.0008706515072844923,0.0009329462191089988,0.0012539505260065198,0.0019390907837077975,0.00042425727588124573,0.0004903247463516891,0.005717210005968809,0.0005151421646587551,0.0006321489345282316,0.003712342819198966,0.0019369269721210003,0.00191895617172122,0.0003257934586144984,0.0004896829486824572,0.005718430038541555
7,003b04435,0.006490818224847317,0.17097659409046173,0.6672298908233643,0.5411854982376099,0.0008362400694750249,0.00460260221734643,0.0002278733445564285,0.2425810545682907,0.0007793894619680941,0.0036074796225875616,0.0017512217164039612,0.0007141573005355895,0.005057950969785452,0.0019397923024371266,0.0014825480757281184,0.006890277378261089,0.0010053790174424648,0.0005209007067605853,0.0212877094745636,0.0014466791180893779,0.0034811191726475954,0.003055295906960964,0.000836028135381639,0.01889684796333313
0,003bec244,0.012584570795297623,0.09269154816865921,0.004110606852918863,0.5321394801139832,0.0003443630412220955,0.05680779367685318,0.0006162384524941444,0.7293244004249573,0.002139460062608123,0.0008712946437299252,0.006853604689240456,0.0011103685246780515,0.00511310575529933,0.0003737330553121865,0.020959163084626198,0.009374147281050682,0.0044203586876392365,0.00034285010769963264,0.015470935963094234,0.00012027058255625889,0.004626673646271229,0.0010038901818916202,0.0008244923083111644,0.001456861151382327
1,003bec244,0.006436028517782688,0.009336459450423717,0.002663670340552926,0.796572208404541,0.0008034899947233498,0.0030952750239521265,0.0004065651446580887,0.5594093799591064,0.0011414324399083853,0.005559973884373903,0.0023186125326901674,0.0021932683885097504,0.008407076820731163,0.00041918590432032943,0.008303456008434296,0.006796372588723898,0.004333822522312403,0.0006950892857275903,0.018107060343027115,7.908757106633857e-05,0.004752055276185274,0.0016448770184069872,0.00043574394658207893,0.0027196684386581182
2,003bec244,0.004726695362478495,0.005477679427713156,0.0028081226628273726,0.6433651447296143,0.001122371177189052,0.0008558435365557671,0.0006749803433194757,0.7153319716453552,0.0018733381293714046,0.0010400578612461686,0.0005716215819120407,0.0027033595833927393,0.006386359687894583,0.00043508317321538925,0.21105748414993286,0.024477198719978333,0.006749419029802084,0.000837937870528549,0.02879146672785282,0.0001312705280724913,0.0036031201016157866,0.0017146178288385272,0.0005471631302498281,0.0020434949547052383
3,003bec244,0.0028037866577506065,0.0034648620057851076,0.0009536198922432959,0.5744662880897522,0.00027241968200542033,7.986721175257117e-05,0.001055110595189035,0.7314291000366211,0.0008752153371460736,0.0004480548086576164,0.000166143145179376,0.48578110337257385,0.003632259089499712,0.00024357308575417846,0.04318159818649292,0.0052649108693003654,0.0029542401898652315,0.0006692404276691377,0.006477526854723692,5.383332245401107e-05,0.0006667610723525286,0.000616961857303977,0.00018490318325348198,0.0017057606019079685
