recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
00b404881,8,1,0.0747,3750.0,4.1973,5531.25,tp,8,21,4,1,13,14,12,18,2,3,23,19,16,15,0,17,22,5,6,20,11,9,7,10,0,14
011f25080,18,1,5.6853,3187.5,6.3787,5062.5,tp,4,18,21,8,13,12,3,0,14,1,9,5,17,15,6,23,16,22,20,2,10,7,11,19,1,7
0295e3234,11,1,5.1606,1808.79,6.2984,5684.77,tp,15,11,23,7,17,20,10,6,3,9,14,16,5,22,19,13,1,2,0,12,18,4,21,8,1,18
0313e82cf,16,4,21.471999999999998,3093.75,23.3067,4593.75,tp,16,1,3,7,17,11,22,2,13,14,10,15,4,19,5,23,0,20,12,8,21,9,6,18,0,16
0509303a5,6,1,23.7013,562.5,25.8453,4406.25,tp,6,11,17,7,10,20,15,3,9,16,2,14,5,19,23,4,21,1,0,22,18,8,13,12,0,18
07f1227b0,1,1,32.9387,3843.75,33.8347,5625.0,tp,14,3,21,7,1,9,23,15,17,4,5,18,6,10,11,2,19,0,8,20,22,16,12,13,4,17
133001416,3,1,14.88,1031.25,15.6213,2812.5,tp,3,5,10,20,11,7,1,17,16,9,12,23,0,14,18,22,15,6,19,4,2,8,13,21,0,12
1383208d3,10,1,50.4744,947.461,52.9183,10852.7,tp,23,5,10,3,22,11,4,6,20,9,7,12,14,21,17,15,1,16,13,8,19,2,0,18,2,22
141675c80,1,1,54.6933,3843.75,55.5893,5625.0,tp,1,21,3,14,4,16,13,8,12,19,18,5,23,7,2,0,9,15,22,17,10,6,11,20,0,15
156b77dfe,1,1,37.36,3843.75,38.256,5625.0,tp,2,3,9,12,0,5,20,1,18,6,17,8,19,13,14,11,4,16,22,23,15,7,10,21,7,4
15d9e6d8b,18,1,36.6453,3187.5,37.3387,5062.5,tp,4,18,21,13,3,1,12,8,0,14,5,16,9,23,15,17,22,6,7,20,10,2,19,11,1,8
160add406,23,4,18.6805,6459.96,26.6043,11627.9,tp,23,5,10,11,3,7,6,20,9,17,16,22,4,14,1,15,21,12,13,8,19,2,0,18,0,22
160b70831,2,1,1.9413,468.75,3.7173,3000.0,tp,2,12,3,19,9,5,16,18,1,22,13,23,0,7,14,20,6,4,17,11,15,10,8,21,0,12
16fc37168,1,1,29.36,3843.75,30.256,5625.0,tp,12,18,0,3,8,5,4,13,1,2,16,23,9,14,21,7,22,15,10,19,17,6,11,20,8,2
16ffcf223,14,1,16.9973,2812.5,17.92,4406.25,tp,14,21,3,7,9,1,4,23,6,17,15,18,8,11,19,20,5,2,10,22,0,12,13,16,0,20
1702d35a0,22,1,28.2453,10687.5,29.8507,13687.5,tp,22,10,23,17,3,15,9,7,11,20,6,5,12,14,16,2,1,0,19,8,21,18,4,13,0,17
17ca62c97,4,1,32.9173,2343.75,34.7733,4218.75,tp,4,21,18,12,8,13,3,1,0,14,5,9,23,6,2,22,15,17,20,16,11,10,7,19,0,8
184322f0e,22,1,54.8,10687.5,56.4053,13687.5,tp,22,1,3,16,21,13,8,14,12,4,19,23,10,2,17,5,15,7,20,0,11,9,18,6,0,19
18e249f36,7,1,28.8747,4687.5,32.016,11437.5,tp,5,3,10,7,11,22,20,16,23,17,15,1,14,19,0,12,9,2,6,18,4,13,8,21,3,14
1a3993962,16,4,48.144,3093.75,49.9787,4593.75,tp,16,1,3,17,7,22,2,19,11,4,10,8,0,5,14,23,21,13,12,15,20,18,6,9,0,12
1ef3e2282,16,4,24.4587,3093.75,26.2933,4593.75,tp,16,7,3,1,17,11,15,20,14,10,5,2,23,19,22,12,0,4,13,9,21,8,6,18,0,16
1f0fe1c7e,22,1,30.3733,10687.5,31.9787,13687.5,tp,22,11,6,17,7,3,20,10,9,23,5,14,16,15,1,12,2,19,13,0,4,18,8,21,0,19
