data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,3281.25,562.5,007f87ba2,1.0,12,42.272,39.135999999999996,18,12,2,4,3,21,8,0,14,13,1,9,22,6,23,16,5,17,20,19,11,15,10,7,1,7
tp,10852.7,947.461,009b760e6,1.0,10,52.5293,50.0854,10,23,5,6,9,3,11,22,19,17,0,16,8,18,7,2,20,14,1,13,21,15,12,4,0,10
tp,5062.5,3187.5,011f25080,1.0,18,6.3787,5.6853,4,18,21,1,3,13,0,14,2,8,15,9,22,12,16,6,17,20,19,5,23,10,7,11,1,6
tp,1125.0,93.75,015113cad,1.0,15,53.3973,50.0533,6,10,3,23,5,17,11,16,15,9,19,7,20,2,22,14,13,4,21,1,0,18,12,8,8,20
tp,4406.25,562.5,01b41f92b,1.0,6,46.38399999999999,44.24,6,17,15,23,3,5,7,11,9,19,10,4,20,13,22,16,2,14,18,21,0,12,1,8,0,20
tp,2812.5,281.25,04975ecd8,1.0,19,55.93600000000001,54.38399999999999,19,7,16,10,3,20,11,1,12,23,6,5,2,17,15,14,22,21,13,18,4,0,8,9,0,21
tp,4406.25,562.5,0509303a5,1.0,6,25.8453,23.7013,6,11,7,10,17,5,20,2,4,19,14,13,23,22,12,15,9,18,1,8,16,21,3,0,0,23
tp,5625.0,3843.75,07f1227b0,1.0,1,33.8347,32.9387,14,1,7,15,21,3,5,2,22,17,23,13,0,18,20,4,11,12,19,10,9,16,6,8,1,12
tp,13687.5,10687.5,09315d9bf,1.0,22,51.3013,49.696000000000005,22,5,10,23,3,9,6,20,14,7,11,19,0,18,15,17,12,2,16,8,13,1,21,4,0,12
tp,11283.4,7235.16,09a946316,1.0,23,56.558,50.4744,23,5,10,6,20,3,9,14,7,11,21,0,22,15,2,8,13,4,17,18,19,16,12,1,0,11
tp,4125.0,3281.25,0c2124550,1.0,21,19.3227,18.2293,8,21,4,12,18,1,0,13,3,16,14,5,22,23,17,6,9,19,10,11,2,20,15,7,1,6
tp,1125.0,93.75,0e29d05ed,1.0,15,35.28,31.936,15,7,3,16,20,23,12,11,17,10,0,22,1,2,5,21,19,13,14,9,18,4,8,6,0,10
tp,8250.0,5906.25,0ea8ea68a,1.0,0,4.5973,3.8027,0,18,3,12,23,8,22,1,14,15,5,9,13,10,16,2,21,7,17,19,11,20,4,6,0,0
tp,843.75,93.75,0f8cadb4a,1.0,13,35.1147,34.4907,13,1,19,16,14,7,15,10,5,3,0,2,8,23,17,4,11,12,22,9,18,20,21,6,0,10
tp,5062.5,3187.5,0fc62dd3c,1.0,18,10.335999999999999,9.6427,0,1,18,12,4,9,13,21,14,8,23,3,15,16,6,22,20,2,5,17,10,11,19,7,2,0
tp,6093.75,1312.5,103db6411,1.0,20,27.7387,22.3573,20,5,11,10,17,6,19,23,14,9,1,16,3,0,7,8,13,18,21,4,15,2,22,12,0,13
tp,5250.0,1125.0,12ec1d4cb,1.0,9,26.9173,24.112,17,9,23,5,6,20,14,3,18,10,15,21,19,8,0,22,11,2,4,16,1,13,12,7,1,14
tp,10852.7,947.461,1383208d3,1.0,10,52.9183,50.4744,23,6,3,10,5,21,19,18,8,13,4,7,2,9,0,12,17,11,16,22,20,1,14,15,3,14
tp,5625.0,3843.75,13f64f898,1.0,1,36.3573,35.4613,1,18,12,3,14,21,4,13,8,16,0,5,2,22,9,23,20,17,6,19,15,11,10,7,0,10
tp,843.75,93.75,14948ff80,1.0,13,45.1253,44.5013,1,13,4,3,16,18,14,21,0,2,19,9,12,15,20,8,17,11,23,6,10,5,22,7,1,8
tp,2812.5,1031.25,14f6cbe5c,1.0,3,54.3413,53.6,7,20,16,3,12,11,15,1,23,17,13,5,10,14,22,2,9,0,8,19,18,4,21,6,3,17
tp,843.75,93.75,1520a52ef,1.0,13,7.12,6.496,13,12,18,0,4,8,21,3,14,2,9,1,23,19,16,22,5,15,17,10,11,6,20,7,0,3
tp,11627.9,6459.96,160add406,4.0,23,26.6043,18.6805,23,3,6,5,10,16,9,12,18,2,11,21,19,17,0,22,7,20,4,14,1,8,13,15,0,14
tp,2812.5,1031.25,163e86660,1.0,3,58.8053,58.06399999999999,3,6,23,12,16,9,1,19,18,5,2,7,10,21,4,17,22,11,0,14,8,20,13,15,0,18
tp,11627.9,6459.96,16553d5cd,4.0,23,49.6327,41.7088,12,23,3,18,5,0,16,9,13,7,14,1,2,10,22,21,20,19,6,8,4,11,15,17,1,5
tp,5531.25,2531.25,1679e323d,1.0,14,9.264,8.6773,14,7,20,12,15,3,10,5,17,2,16,11,23,22,18,1,0,19,13,6,21,9,8,4,0,16
tp,4406.25,2812.5,16ffcf223,1.0,14,17.92,16.9973,14,1,21,2,4,3,7,5,15,13,22,20,0,23,11,19,16,17,18,8,6,10,12,9,0,12
tp,4406.25,562.5,180ba3012,1.0,6,50.496,48.352,7,6,11,20,17,5,10,23,3,15,16,19,2,22,12,13,9,1,14,0,4,18,8,21,1,19
tp,13687.5,10687.5,1856bb5c2,1.0,22,38.0587,36.4533,23,11,22,17,7,6,5,10,3,19,9,20,16,0,21,12,1,13,2,14,8,4,15,18,2,13
tp,5625.0,3843.75,1ba9ee79a,1.0,1,6.8427,5.9467,18,4,3,1,21,14,12,8,0,16,9,13,2,20,22,23,10,17,6,5,11,15,19,7,3,8
tp,4406.25,562.5,1c46aa776,1.0,6,32.8747,30.7307,23,6,3,5,16,1,20,2,7,10,17,11,9,19,21,14,13,4,0,18,22,12,8,15,1,18
tp,3281.25,562.5,1ca8c8af6,1.0,12,3.8187,0.6827,0,12,9,8,18,1,23,13,4,3,14,5,16,21,15,10,22,2,17,11,19,20,6,7,1,0
tp,1125.0,93.75,1d949c49d,1.0,15,36.9867,33.6427,15,3,7,12,14,5,23,2,1,16,9,13,0,17,21,22,18,20,10,8,4,11,19,6,0,12
