0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,00b404881,1.0,8.0,4.1973,0.0747,21,8,4,14,12,13,17,0,9,18,3,20,16,1,22,6,10,23,2,15,11,19,5,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,011f25080,1.0,18.0,6.3787,5.6853,4,18,21,14,3,12,0,13,8,6,23,1,19,2,9,16,5,17,22,11,20,10,15,7,1,6
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,0295e3234,1.0,11.0,6.2984,5.1606,15,23,7,11,17,3,10,9,12,6,1,0,18,22,2,14,20,16,5,21,4,19,8,13,3,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,0313e82cf,4.0,16.0,23.3067,21.471999999999998,16,3,1,17,9,14,12,4,11,2,20,18,13,0,23,6,21,15,7,5,22,10,19,8,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,562.5,0509303a5,1.0,6.0,25.8453,23.7013,11,6,7,10,0,14,3,23,17,22,13,2,21,15,4,1,19,9,18,8,16,12,5,20,1,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,07f1227b0,1.0,1.0,33.8347,32.9387,14,21,1,7,9,13,16,3,12,8,6,4,20,18,17,5,11,0,23,2,10,15,22,19,2,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,133001416,1.0,3.0,15.6213,14.88,3,17,20,9,15,1,12,0,23,6,14,16,7,5,11,18,2,10,8,4,21,22,19,13,0,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,1383208d3,1.0,10.0,52.9183,50.4744,10,23,3,9,5,7,4,1,11,14,0,12,2,16,19,22,8,21,6,13,15,17,20,18,0,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,141675c80,1.0,1.0,55.5893,54.6933,1,3,14,21,12,9,18,16,4,8,13,0,17,2,23,5,11,15,10,22,6,20,7,19,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,156b77dfe,1.0,1.0,38.256,37.36,3,0,12,15,1,6,18,2,8,9,4,21,23,14,5,20,16,13,11,10,7,17,22,19,4,1
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,15d9e6d8b,1.0,18.0,37.3387,36.6453,4,18,14,12,3,21,13,0,8,1,6,9,16,17,20,19,5,23,2,11,15,22,10,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,160add406,4.0,23.0,26.6043,18.6805,3,23,9,17,6,12,7,1,16,11,20,2,15,14,0,5,18,21,8,22,10,4,19,13,1,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,160b70831,1.0,2.0,3.7173,1.9413,2,3,12,22,16,17,9,5,6,23,15,14,10,19,18,11,13,8,21,7,20,4,1,0,0,23
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,16fc37168,1.0,1.0,30.256,29.36,3,1,12,14,8,18,21,0,4,13,16,9,15,23,6,5,10,17,2,22,11,20,19,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,2812.5,16ffcf223,1.0,14.0,17.92,16.9973,14,21,4,3,18,1,13,6,9,0,5,12,8,11,20,19,2,16,17,23,10,22,15,7,0,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,13687.5,10687.5,1702d35a0,1.0,22.0,29.8507,28.2453,22,9,15,3,17,14,1,23,6,11,7,5,21,16,4,0,2,20,10,12,8,18,13,19,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,4218.75,2343.75,17ca62c97,1.0,4.0,34.7733,32.9173,12,4,3,13,18,21,8,14,16,1,0,19,20,6,2,5,23,9,11,15,17,22,10,7,1,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,13687.5,10687.5,184322f0e,1.0,22.0,56.4053,54.8,22,1,3,9,14,16,11,23,13,2,12,4,6,0,5,17,21,8,15,7,20,10,18,19,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,18e249f36,1.0,7.0,32.016,28.8747,23,7,3,15,22,9,11,10,6,20,5,12,16,2,1,14,17,18,19,4,8,0,21,13,1,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,1a3993962,4.0,16.0,49.9787,48.144,16,3,1,17,14,0,18,4,9,20,13,21,6,12,11,2,5,7,10,15,23,22,8,19,0,5
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,1ef3e2282,4.0,16.0,26.2933,24.4587,16,3,1,7,9,17,23,14,11,15,2,12,6,20,5,18,0,22,10,4,19,8,21,13,0,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,13687.5,10687.5,1f0fe1c7e,1.0,22.0,31.9787,30.3733,22,3,15,17,6,23,9,7,14,11,1,12,16,0,5,2,21,10,18,20,19,8,4,13,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,4218.75,2343.75,1fd650183,1.0,4.0,36.992,35.135999999999996,4,18,13,3,14,12,21,0,8,1,16,6,20,19,17,9,2,23,11,15,5,10,22,7,0,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,1ffa43aae,1.0,13.0,30.3307,29.7067,13,12,4,18,14,3,1,21,16,8,19,17,0,2,5,6,22,15,10,11,9,23,20,7,0,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,200656f13,4.0,23.0,43.0324,35.1086,23,3,7,15,11,17,9,10,6,22,16,2,4,20,8,14,12,1,0,19,5,18,21,13,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,20de9e491,1.0,15.0,57.808,54.464,23,15,7,5,11,22,16,12,10,3,14,1,9,6,8,17,2,4,21,20,0,18,19,13,1,20
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,226ce47d9,1.0,23.0,43.0208,36.9371,17,23,9,7,3,11,6,4,19,15,13,10,8,20,22,21,16,18,5,14,2,0,1,12,1,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,22b46c334,1.0,8.0,16.9013,12.7787,8,21,12,14,4,16,1,18,3,17,13,9,10,22,0,6,20,5,15,11,23,2,19,7,0,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,23363116f,1.0,23.0,14.4834,8.3998,22,15,23,3,9,1,6,7,14,12,11,17,16,2,5,20,21,8,10,0,18,4,13,19,2,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,251737ef0,1.0,0.0,36.7253,35.9307,0,3,18,8,12,13,5,1,9,14,10,2,20,6,23,4,16,7,21,17,15,19,11,22,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,25de8315e,1.0,1.0,53.4347,52.5387,1,3,4,16,21,18,12,14,9,13,2,23,22,11,8,0,5,10,17,6,15,20,19,7,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,281.25,27b26fe5d,1.0,19.0,56.656000000000006,55.104,3,19,9,18,11,1,5,6,15,12,17,23,16,0,2,21,7,10,20,22,4,14,13,8,1,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,287bf77ec,1.0,2.0,13.9573,12.1813,9,2,3,17,0,6,18,12,16,8,19,20,11,1,14,7,23,10,5,21,4,15,13,22,1,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,287bf77ec,1.0,2.0,10.607999999999999,8.832,9,2,3,17,0,6,18,12,16,8,19,20,11,1,14,7,23,10,5,21,4,15,13,22,1,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,281.25,29b82a129,1.0,19.0,50.4853,48.9333,19,6,11,7,17,9,3,23,15,5,22,10,16,2,14,13,20,18,12,0,21,1,4,8,0,19
