patch,recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
0,005f1f9a5,0.41955113410949707,0.5044269561767578,0.4840598404407501,0.7593295574188232,0.3772975206375122,0.4404241740703583,0.44537433981895447,0.546309769153595,0.38607484102249146,0.4536893963813782,0.44712066650390625,0.4466474950313568,0.4236631691455841,0.46834778785705566,0.5071198344230652,0.45246174931526184,0.46848681569099426,0.44851240515708923,0.4551275670528412,0.43242147564888,0.44619446992874146,0.4473557770252228,0.31157156825065613,0.4346045255661011
1,005f1f9a5,0.39679837226867676,0.48696619272232056,0.46941491961479187,0.7801356315612793,0.3668305575847626,0.4305485785007477,0.4483177065849304,0.7103110551834106,0.38920021057128906,0.45188942551612854,0.4199163615703583,0.4673599302768707,0.4232570230960846,0.4526924192905426,0.4818589985370636,0.4803719222545624,0.448019802570343,0.45211660861968994,0.478288859128952,0.4364014267921448,0.44221311807632446,0.43583184480667114,0.36372244358062744,0.42424866557121277
2,005f1f9a5,0.4035848081111908,0.5059000253677368,0.4668968617916107,0.7539761066436768,0.3881039321422577,0.43764668703079224,0.4458611011505127,0.6111351251602173,0.39345797896385193,0.4645649194717407,0.4377672076225281,0.4669904410839081,0.4194771349430084,0.4584490954875946,0.49651363492012024,0.44310271739959717,0.44586247205734253,0.45994865894317627,0.46763449907302856,0.4333113133907318,0.44655489921569824,0.4389638602733612,0.38364091515541077,0.4315794110298157
3,005f1f9a5,0.4020635485649109,0.8324503302574158,0.46306297183036804,0.6337771415710449,0.4050352871417999,0.44858649373054504,0.4417459964752197,0.4475591480731964,0.38057899475097656,0.4431966543197632,0.4402061104774475,0.43764153122901917,0.4574713408946991,0.44996240735054016,0.47196024656295776,0.42119690775871277,0.45099005103111267,0.44500285387039185,0.5136653780937195,0.4373708665370941,0.44082385301589966,0.42867425084114075,0.32841506600379944,0.42776191234588623
4,005f1f9a5,0.40352848172187805,0.4736018180847168,0.46883806586265564,0.780877947807312,0.3812195360660553,0.4376988112926483,0.4483090341091156,0.4554348587989807,0.3861639201641083,0.44481223821640015,0.4432862102985382,0.4349806010723114,0.40692639350891113,0.4575093686580658,0.4951947033405304,0.4263087511062622,0.4551253318786621,0.4512767791748047,0.4995667040348053,0.43219101428985596,0.43953585624694824,0.44918471574783325,0.3118492066860199,0.43724703788757324
5,005f1f9a5,0.38251274824142456,0.6511823534965515,0.4610382616519928,0.7407304644584656,0.37296685576438904,0.43046945333480835,0.445361852645874,0.7570875883102417,0.39749112725257874,0.4437812566757202,0.4350743591785431,0.46305426955223083,0.4506898820400238,0.45868444442749023,0.4992150366306305,0.46365439891815186,0.44732093811035156,0.450942724943161,0.4708615243434906,0.444374144077301,0.44073569774627686,0.4246724843978882,0.3546142280101776,0.4240729808807373
6,005f1f9a5,0.328061044216156,0.513262927532196,0.4600847661495209,0.7639881372451782,0.3311160206794739,0.4073362946510315,0.44022709131240845,0.8313069343566895,0.35997214913368225,0.4327206313610077,0.40964120626449585,0.49794620275497437,0.42503130435943604,0.45074695348739624,0.46483325958251953,0.4831109344959259,0.44692885875701904,0.4312366247177124,0.44901517033576965,0.42970314621925354,0.43407443165779114,0.40133097767829895,0.34039023518562317,0.4091447591781616
7,005f1f9a5,0.34356439113616943,0.47002702951431274,0.46302518248558044,0.7883830070495605,0.3340771496295929,0.41260725259780884,0.44526490569114685,0.7823176383972168,0.36924731731414795,0.4549904465675354,0.40229204297065735,0.4996693432331085,0.44206324219703674,0.45070189237594604,0.46508076786994934,0.47834762930870056,0.4296198785305023,0.44454318284988403,0.4726855158805847,0.4220399260520935,0.4385029971599579,0.4222232401371002,0.3648926913738251,0.4294438362121582
0,00b404881,0.3562973439693451,0.377881795167923,0.41735443472862244,0.5076603293418884,0.6587608456611633,0.41571342945098877,0.424333781003952,0.44090670347213745,0.9881843328475952,0.4330528676509857,0.4082244038581848,0.46334606409072876,0.39688271284103394,0.3717760443687439,0.3935737907886505,0.4695887863636017,0.4118037521839142,0.40378567576408386,0.40625444054603577,0.3986899256706238,0.4125944674015045,0.9828790426254272,0.26729676127433777,0.39981338381767273
1,00b404881,0.36496037244796753,0.3723049759864807,0.4258385896682739,0.5230557918548584,0.6513607501983643,0.4225651025772095,0.4268021285533905,0.447838693857193,0.9845320582389832,0.43411922454833984,0.4138875901699066,0.4687535762786865,0.405602365732193,0.3787362277507782,0.39830395579338074,0.46785345673561096,0.4131828248500824,0.4128186106681824,0.4137691259384155,0.4041351079940796,0.4163248538970947,0.9820159673690796,0.28253692388534546,0.40021732449531555
2,00b404881,0.37490716576576233,0.37849146127700806,0.4325258433818817,0.53230881690979,0.6368262767791748,0.4245215058326721,0.4257735013961792,0.44931560754776,0.9777631163597107,0.4398094117641449,0.41629570722579956,0.4783988893032074,0.42317456007003784,0.3922085464000702,0.4100322425365448,0.46380606293678284,0.4163317382335663,0.4175642132759094,0.41957536339759827,0.40434524416923523,0.4181138575077057,0.9765467643737793,0.29444828629493713,0.40683409571647644
3,00b404881,0.37278708815574646,0.37984976172447205,0.4309918284416199,0.5225146412849426,0.6455181837081909,0.42630305886268616,0.4270058274269104,0.4451116621494293,0.9790365099906921,0.4383614659309387,0.4171026349067688,0.47053587436676025,0.41067996621131897,0.391253799200058,0.4010731875896454,0.46565741300582886,0.41475364565849304,0.4182119071483612,0.4158528447151184,0.4074707329273224,0.42130517959594727,0.9778319597244263,0.291678786277771,0.40523236989974976
4,00b404881,0.36343246698379517,0.3940204977989197,0.43233391642570496,0.5128109455108643,0.6374945640563965,0.42727386951446533,0.422780841588974,0.44203993678092957,0.9766421318054199,0.43452078104019165,0.41314685344696045,0.47382834553718567,0.4221497178077698,0.3844360411167145,0.3991198241710663,0.4656156599521637,0.41020646691322327,0.41899240016937256,0.4170984923839569,0.40202173590660095,0.41582947969436646,0.979721188545227,0.2871883511543274,0.4008261263370514
5,00b404881,0.3629603385925293,0.39531195163726807,0.4312218725681305,0.5141707062721252,0.6411706209182739,0.42259275913238525,0.4167364835739136,0.4425733983516693,0.9839009642601013,0.4358775317668915,0.4123556911945343,0.4595594108104706,0.4121130704879761,0.38012227416038513,0.39689305424690247,0.47125646471977234,0.41776201128959656,0.41354042291641235,0.41652438044548035,0.39826902747154236,0.4162622392177582,0.9770869612693787,0.281069815158844,0.40059980750083923
6,00b404881,0.3737905025482178,0.38333776593208313,0.426705002784729,0.5139049291610718,0.6555913090705872,0.4303162395954132,0.42901310324668884,0.44743791222572327,0.984799861907959,0.43652501702308655,0.41928473114967346,0.4562493562698364,0.3973913788795471,0.37843745946884155,0.405185729265213,0.47607478499412537,0.4153499901294708,0.4233366847038269,0.4145928621292114,0.41224634647369385,0.4222389757633209,0.9817706942558289,0.28233444690704346,0.40782254934310913
7,00b404881,0.3706601560115814,0.3887619078159332,0.4200570285320282,0.5084929466247559,0.65607088804245,0.4283108711242676,0.4310660660266876,0.44195181131362915,0.9807989001274109,0.43519607186317444,0.4141606092453003,0.46603289246559143,0.3987365961074829,0.38292691111564636,0.4064364731311798,0.4730660021305084,0.40882617235183716,0.4141753315925598,0.41159293055534363,0.41405218839645386,0.4206816852092743,0.9803400635719299,0.2858176827430725,0.40065938234329224
0,01cd1b90e,0.40772292017936707,0.4664885103702545,0.4720664620399475,0.8418229818344116,0.412115216255188,0.4484354853630066,0.43463367223739624,0.4394572675228119,0.372585266828537,0.440621942281723,0.44491732120513916,0.44466128945350647,0.4241821765899658,0.44786226749420166,0.5226434469223022,0.4028453528881073,0.4353059232234955,0.4325162172317505,0.3982338607311249,0.40350890159606934,0.4489518702030182,0.45621711015701294,0.3357529640197754,0.45554599165916443
1,01cd1b90e,0.4315297305583954,0.4823889136314392,0.48956191539764404,0.7506427764892578,0.41868188977241516,0.4578787684440613,0.4415569007396698,0.42537519335746765,0.4012552499771118,0.44210973381996155,0.459660142660141,0.4459828734397888,0.5366790294647217,0.4717774987220764,0.5103307366371155,0.4142565131187439,0.43551647663116455,0.435537725687027,0.4538993239402771,0.42907077074050903,0.4562854468822479,0.4575476050376892,0.3652004599571228,0.4568207263946533
2,01cd1b90e,0.42064210772514343,0.4717022776603699,0.48497626185417175,0.7808899283409119,0.43593186140060425,0.44994789361953735,0.4282185137271881,0.4389020800590515,0.4313299357891083,0.41174259781837463,0.46005380153656006,0.4234744906425476,0.7395891547203064,0.4682796895503998,0.541649580001831,0.4033437669277191,0.40561702847480774,0.4421824514865875,0.38587337732315063,0.440828800201416,0.45613086223602295,0.4401673972606659,0.39753052592277527,0.43062731623649597
3,01cd1b90e,0.44337090849876404,0.5028634071350098,0.47492414712905884,0.746343731880188,0.47816818952560425,0.4451879560947418,0.44052979350090027,0.44333913922309875,0.4487921893596649,0.416569322347641,0.46924346685409546,0.427874892950058,0.7267837524414062,0.47313085198402405,0.5117937326431274,0.4082181453704834,0.4191201627254486,0.447896271944046,0.44311630725860596,0.44217684864997864,0.4531024396419525,0.44650784134864807,0.40642979741096497,0.431414932012558
4,01cd1b90e,0.4528532326221466,0.530066967010498,0.488273948431015,0.6790968775749207,0.5576159954071045,0.43382900953292847,0.4439404308795929,0.43776223063468933,0.42271992564201355,0.421205997467041,0.45961615443229675,0.42761513590812683,0.6671757698059082,0.46887946128845215,0.501469612121582,0.40340885519981384,0.4338294565677643,0.4396038055419922,0.5994699001312256,0.43697434663772583,0.4458339214324951,0.4179697632789612,0.3999427258968353,0.43269652128219604
5,01cd1b90e,0.4227016866207123,0.4795217216014862,0.4753982126712799,0.786175549030304,0.4558880925178528,0.43609049916267395,0.4290385842323303,0.4614231288433075,0.4344640374183655,0.3978150486946106,0.47457432746887207,0.4192729592323303,0.8144229054450989,0.4643736481666565,0.5082606673240662,0.41162654757499695,0.40793392062187195,0.44135233759880066,0.4054594039916992,0.43930670619010925,0.44412216544151306,0.42697757482528687,0.43710756301879883,0.4207441210746765
6,01cd1b90e,0.42546603083610535,0.5149827003479004,0.4994547367095947,0.7085626721382141,0.42796337604522705,0.4531463086605072,0.4607025384902954,0.4563915431499481,0.45748171210289,0.4149441421031952,0.47360649704933167,0.435929536819458,0.7593428492546082,0.46539953351020813,0.524090588092804,0.4209739863872528,0.40958231687545776,0.45478197932243347,0.3760997951030731,0.4498157799243927,0.4588857591152191,0.45278942584991455,0.4068460464477539,0.4350714683532715
7,01cd1b90e,0.41124942898750305,0.49312251806259155,0.49851301312446594,0.7497812509536743,0.43563851714134216,0.4482969045639038,0.43604230880737305,0.48402687907218933,0.4436227083206177,0.39829882979393005,0.46953973174095154,0.44430679082870483,0.8571377992630005,0.4550454318523407,0.5400073528289795,0.436035692691803,0.4040088653564453,0.4570392370223999,0.33353468775749207,0.4608156085014343,0.4604138731956482,0.4287796914577484,0.4389147460460663,0.4146689176559448
0,0201197ec,0.3700888156890869,0.4668538272380829,0.46605437994003296,0.44746625423431396,0.3888024091720581,0.4643479883670807,0.46000567078590393,0.46977758407592773,0.3726056218147278,0.45724916458129883,0.45537081360816956,0.48328694701194763,0.4365818202495575,0.44654563069343567,0.4635954797267914,0.42881137132644653,0.4247673451900482,0.4566068649291992,0.47568100690841675,0.44723910093307495,0.4628823697566986,0.3660866320133209,0.30741238594055176,0.43660813570022583
1,0201197ec,0.3630496561527252,0.4573792517185211,0.45773205161094666,0.4322795569896698,0.3883991837501526,0.4687901735305786,0.4615054726600647,0.47949784994125366,0.37540900707244873,0.46275776624679565,0.4639059901237488,0.5030626654624939,0.43107202649116516,0.44355905055999756,0.4832521677017212,0.4390803873538971,0.42898422479629517,0.4487268328666687,0.45473068952560425,0.44103318452835083,0.4716460406780243,0.37943264842033386,0.2955547571182251,0.4240100383758545
2,0201197ec,0.3563844561576843,0.45855775475502014,0.4551330506801605,0.4455926716327667,0.38982367515563965,0.46188685297966003,0.45765432715415955,0.48510903120040894,0.3811906576156616,0.462471067905426,0.4648791253566742,0.47572794556617737,0.44241687655448914,0.45025408267974854,0.4609072208404541,0.43202337622642517,0.4248794913291931,0.4459022283554077,0.46055158972740173,0.4526642858982086,0.517830491065979,0.38253915309906006,0.31480342149734497,0.4374684989452362
3,0201197ec,0.37184086441993713,0.4608538746833801,0.4712488651275635,0.4364872872829437,0.3821372091770172,0.4567733108997345,0.471284419298172,0.4718303084373474,0.38941216468811035,0.4638808071613312,0.4742678105831146,0.4749740958213806,0.4548953175544739,0.4494757354259491,0.43481358885765076,0.42171144485473633,0.4319586157798767,0.45944955945014954,0.47646820545196533,0.45706450939178467,0.45704346895217896,0.38105109333992004,0.2934402525424957,0.43204811215400696
4,0201197ec,0.37070295214653015,0.4677615761756897,0.48212745785713196,0.45582136511802673,0.3501052260398865,0.44149258732795715,0.4575248956680298,0.46885135769844055,0.35959678888320923,0.4437418580055237,0.7889291644096375,0.49145880341529846,0.42166879773139954,0.43514037132263184,0.4319939911365509,0.4047364294528961,0.4316796660423279,0.44395285844802856,0.4782668948173523,0.4289100766181946,0.4489244222640991,0.4015640914440155,0.3261830806732178,0.43741971254348755
