recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,tp,13,12,8,0,2,21,18,4,16,7,1,23,22,20,3,15,14,9,5,17,19,10,11,6
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,tp,8,13,0,4,1,16,18,12,15,21,2,3,22,14,5,23,7,17,10,9,19,6,11,20
0275e127d,11,1,11.9989,1808.79,13.1367,5684.77,tp,13,8,21,4,0,18,1,12,2,22,23,5,14,15,9,10,16,20,3,6,17,19,7,11
050d0ca85,3,1,49.92,1031.25,50.6613,2812.5,tp,21,20,8,4,2,9,18,16,0,11,12,17,13,7,1,22,14,3,6,19,10,5,15,23
053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9,tp,2,13,15,20,17,9,1,11,7,16,0,12,6,8,19,21,18,22,14,10,4,3,5,23
057802c25,11,1,4.2202,1808.79,5.358,5684.77,tp,13,21,8,18,1,0,16,12,4,2,15,7,14,20,9,3,17,22,19,11,5,10,23,6
067f49f8b,0,1,53.29600000000001,5906.25,54.0907,8250.0,tp,15,2,11,20,17,22,6,7,10,14,9,19,16,1,23,5,3,13,12,4,0,18,8,21
06a0c48c9,0,1,57.2213,5906.25,58.016000000000005,8250.0,tp,16,2,15,20,11,17,6,1,19,13,22,7,9,10,14,21,23,5,3,4,8,12,18,0
073e4d908,12,1,12.495999999999999,562.5,15.632,3281.25,tp,20,11,17,6,16,14,15,21,7,1,19,10,9,4,13,22,2,8,0,5,18,3,23,12
0a350d11c,19,1,11.5253,281.25,13.0773,2812.5,tp,13,20,21,15,9,1,4,2,16,8,17,23,18,11,0,14,22,7,6,12,3,19,5,10
0e29d05ed,15,1,31.936,93.75,35.28,1125.0,tp,8,18,1,9,0,21,12,2,4,20,22,11,5,6,10,23,13,19,16,17,14,3,7,15
0eb2079ea,3,1,5.5893,1031.25,6.3307,2812.5,tp,13,21,15,1,4,22,9,16,14,23,20,2,18,8,17,7,12,11,0,6,3,10,19,5
